
mesurPoint	linkEvent
numPLsAvbl	73
numPLsUsed	78
totBwAvbl	1460
totBwUsed	586
numVLsReq	39
numVLsAloc	34
numVLsUnAloc	5
numVLsUdrAloc	3
sumUdrAlocDifr	11
numFlowRules	234
bwUtilzn	40.14
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.67

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	72
numPLsUsed	78
totBwAvbl	1440
totBwUsed	588
numVLsReq	39
numVLsAloc	34
numVLsUnAloc	5
numVLsUdrAloc	3
sumUdrAlocDifr	11
numFlowRules	235
bwUtilzn	40.83
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.67

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	71
numPLsUsed	80
totBwAvbl	1420
totBwUsed	577
numVLsReq	39
numVLsAloc	33
numVLsUnAloc	6
numVLsUdrAloc	3
sumUdrAlocDifr	11
numFlowRules	228
bwUtilzn	40.63
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.67

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	70
numPLsUsed	80
totBwAvbl	1400
totBwUsed	584
numVLsReq	39
numVLsAloc	33
numVLsUnAloc	6
numVLsUdrAloc	3
sumUdrAlocDifr	11
numFlowRules	229
bwUtilzn	41.71
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.67

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	69
numPLsUsed	80
totBwAvbl	1380
totBwUsed	591
numVLsReq	39
numVLsAloc	33
numVLsUnAloc	6
numVLsUdrAloc	3
sumUdrAlocDifr	11
numFlowRules	230
bwUtilzn	42.83
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.67

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	68
numPLsUsed	80
totBwAvbl	1360
totBwUsed	607
numVLsReq	39
numVLsAloc	32
numVLsUnAloc	7
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	233
bwUtilzn	44.63
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	67
numPLsUsed	80
totBwAvbl	1340
totBwUsed	612
numVLsReq	39
numVLsAloc	32
numVLsUnAloc	7
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	233
bwUtilzn	45.67
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	66
numPLsUsed	81
totBwAvbl	1320
totBwUsed	594
numVLsReq	39
numVLsAloc	30
numVLsUnAloc	7
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	221
bwUtilzn	45.00
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	65
numPLsUsed	82
totBwAvbl	1300
totBwUsed	543
numVLsReq	39
numVLsAloc	23
numVLsUnAloc	15
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	184
bwUtilzn	41.77
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	64
numPLsUsed	82
totBwAvbl	1280
totBwUsed	505
numVLsReq	39
numVLsAloc	23
numVLsUnAloc	15
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	156
bwUtilzn	39.45
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	63
numPLsUsed	82
totBwAvbl	1260
totBwUsed	506
numVLsReq	39
numVLsAloc	23
numVLsUnAloc	15
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	158
bwUtilzn	40.16
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	62
numPLsUsed	82
totBwAvbl	1240
totBwUsed	516
numVLsReq	39
numVLsAloc	23
numVLsUnAloc	15
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	157
bwUtilzn	41.61
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	61
numPLsUsed	82
totBwAvbl	1220
totBwUsed	518
numVLsReq	39
numVLsAloc	22
numVLsUnAloc	16
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	150
bwUtilzn	42.46
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	60
numPLsUsed	82
totBwAvbl	1200
totBwUsed	515
numVLsReq	39
numVLsAloc	21
numVLsUnAloc	17
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	150
bwUtilzn	42.92
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	59
numPLsUsed	83
totBwAvbl	1180
totBwUsed	511
numVLsReq	39
numVLsAloc	20
numVLsUnAloc	17
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	139
bwUtilzn	43.31
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	58
numPLsUsed	83
totBwAvbl	1160
totBwUsed	513
numVLsReq	39
numVLsAloc	20
numVLsUnAloc	17
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	136
bwUtilzn	44.22
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	57
numPLsUsed	84
totBwAvbl	1140
totBwUsed	487
numVLsReq	39
numVLsAloc	15
numVLsUnAloc	19
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	116
bwUtilzn	42.72
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	56
numPLsUsed	84
totBwAvbl	1120
totBwUsed	450
numVLsReq	39
numVLsAloc	12
numVLsUnAloc	22
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	95
bwUtilzn	40.18
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	55
numPLsUsed	84
totBwAvbl	1100
totBwUsed	439
numVLsReq	39
numVLsAloc	12
numVLsUnAloc	22
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	82
bwUtilzn	39.91
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	54
numPLsUsed	84
totBwAvbl	1080
totBwUsed	439
numVLsReq	39
numVLsAloc	12
numVLsUnAloc	22
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	82
bwUtilzn	40.65
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	53
numPLsUsed	85
totBwAvbl	1060
totBwUsed	439
numVLsReq	39
numVLsAloc	12
numVLsUnAloc	22
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	82
bwUtilzn	41.42
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	52
numPLsUsed	87
totBwAvbl	1040
totBwUsed	456
numVLsReq	39
numVLsAloc	12
numVLsUnAloc	22
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	83
bwUtilzn	43.85
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	51
numPLsUsed	87
totBwAvbl	1020
totBwUsed	456
numVLsReq	39
numVLsAloc	11
numVLsUnAloc	23
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	81
bwUtilzn	44.71
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	50
numPLsUsed	89
totBwAvbl	1000
totBwUsed	447
numVLsReq	39
numVLsAloc	8
numVLsUnAloc	24
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	71
bwUtilzn	44.70
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	49
numPLsUsed	90
totBwAvbl	980
totBwUsed	449
numVLsReq	39
numVLsAloc	9
numVLsUnAloc	24
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	65
bwUtilzn	45.82
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	48
numPLsUsed	90
totBwAvbl	960
totBwUsed	449
numVLsReq	39
numVLsAloc	9
numVLsUnAloc	24
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	65
bwUtilzn	46.77
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	47
numPLsUsed	90
totBwAvbl	940
totBwUsed	449
numVLsReq	39
numVLsAloc	9
numVLsUnAloc	24
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	65
bwUtilzn	47.77
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	46
numPLsUsed	90
totBwAvbl	920
totBwUsed	449
numVLsReq	39
numVLsAloc	9
numVLsUnAloc	24
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	65
bwUtilzn	48.80
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	45
numPLsUsed	90
totBwAvbl	900
totBwUsed	449
numVLsReq	39
numVLsAloc	9
numVLsUnAloc	24
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	65
bwUtilzn	49.89
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	44
numPLsUsed	91
totBwAvbl	880
totBwUsed	451
numVLsReq	39
numVLsAloc	9
numVLsUnAloc	24
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	66
bwUtilzn	51.25
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	43
numPLsUsed	92
totBwAvbl	860
totBwUsed	450
numVLsReq	39
numVLsAloc	8
numVLsUnAloc	25
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	60
bwUtilzn	52.33
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	42
numPLsUsed	92
totBwAvbl	840
totBwUsed	450
numVLsReq	39
numVLsAloc	8
numVLsUnAloc	25
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	60
bwUtilzn	53.57
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	41
numPLsUsed	92
totBwAvbl	820
totBwUsed	450
numVLsReq	39
numVLsAloc	8
numVLsUnAloc	25
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	60
bwUtilzn	54.88
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	40
numPLsUsed	92
totBwAvbl	800
totBwUsed	450
numVLsReq	39
numVLsAloc	8
numVLsUnAloc	25
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	60
bwUtilzn	56.25
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	39
numPLsUsed	92
totBwAvbl	780
totBwUsed	450
numVLsReq	39
numVLsAloc	8
numVLsUnAloc	25
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	60
bwUtilzn	57.69
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	38
numPLsUsed	92
totBwAvbl	760
totBwUsed	450
numVLsReq	39
numVLsAloc	8
numVLsUnAloc	25
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	60
bwUtilzn	59.21
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	37
numPLsUsed	92
totBwAvbl	740
totBwUsed	450
numVLsReq	39
numVLsAloc	8
numVLsUnAloc	25
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	60
bwUtilzn	60.81
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	36
numPLsUsed	93
totBwAvbl	720
totBwUsed	450
numVLsReq	39
numVLsAloc	8
numVLsUnAloc	25
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	60
bwUtilzn	62.50
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	35
numPLsUsed	93
totBwAvbl	700
totBwUsed	450
numVLsReq	39
numVLsAloc	8
numVLsUnAloc	25
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	60
bwUtilzn	64.29
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	34
numPLsUsed	94
totBwAvbl	680
totBwUsed	450
numVLsReq	39
numVLsAloc	8
numVLsUnAloc	25
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	60
bwUtilzn	66.18
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	33
numPLsUsed	94
totBwAvbl	660
totBwUsed	450
numVLsReq	39
numVLsAloc	8
numVLsUnAloc	25
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	60
bwUtilzn	68.18
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	32
numPLsUsed	95
totBwAvbl	640
totBwUsed	450
numVLsReq	39
numVLsAloc	8
numVLsUnAloc	25
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	60
bwUtilzn	70.31
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	31
numPLsUsed	95
totBwAvbl	620
totBwUsed	450
numVLsReq	39
numVLsAloc	8
numVLsUnAloc	25
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	60
bwUtilzn	72.58
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	30
numPLsUsed	95
totBwAvbl	600
totBwUsed	449
numVLsReq	39
numVLsAloc	7
numVLsUnAloc	26
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	57
bwUtilzn	74.83
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	29
numPLsUsed	95
totBwAvbl	580
totBwUsed	448
numVLsReq	39
numVLsAloc	7
numVLsUnAloc	26
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	54
bwUtilzn	77.24
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	28
numPLsUsed	95
totBwAvbl	560
totBwUsed	448
numVLsReq	39
numVLsAloc	7
numVLsUnAloc	26
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	54
bwUtilzn	80.00
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	27
numPLsUsed	96
totBwAvbl	540
totBwUsed	448
numVLsReq	39
numVLsAloc	7
numVLsUnAloc	26
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	54
bwUtilzn	82.96
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	26
numPLsUsed	96
totBwAvbl	520
totBwUsed	448
numVLsReq	39
numVLsAloc	7
numVLsUnAloc	26
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	54
bwUtilzn	86.15
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	25
numPLsUsed	97
totBwAvbl	500
totBwUsed	448
numVLsReq	39
numVLsAloc	7
numVLsUnAloc	26
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	54
bwUtilzn	89.60
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	24
numPLsUsed	97
totBwAvbl	480
totBwUsed	448
numVLsReq	39
numVLsAloc	7
numVLsUnAloc	26
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	54
bwUtilzn	93.33
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	23
numPLsUsed	97
totBwAvbl	460
totBwUsed	434
numVLsReq	39
numVLsAloc	3
numVLsUnAloc	30
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	44
bwUtilzn	94.35
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	22
numPLsUsed	97
totBwAvbl	440
totBwUsed	422
numVLsReq	39
numVLsAloc	3
numVLsUnAloc	30
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	35
bwUtilzn	95.91
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	21
numPLsUsed	97
totBwAvbl	420
totBwUsed	422
numVLsReq	39
numVLsAloc	3
numVLsUnAloc	30
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	35
bwUtilzn	100.48
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	20
numPLsUsed	97
totBwAvbl	400
totBwUsed	422
numVLsReq	39
numVLsAloc	3
numVLsUnAloc	30
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	35
bwUtilzn	105.50
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	19
numPLsUsed	97
totBwAvbl	380
totBwUsed	418
numVLsReq	39
numVLsAloc	2
numVLsUnAloc	31
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	32
bwUtilzn	110.00
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	18
numPLsUsed	97
totBwAvbl	360
totBwUsed	414
numVLsReq	39
numVLsAloc	2
numVLsUnAloc	31
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	29
bwUtilzn	115.00
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	True
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	17
numPLsUsed	97
totBwAvbl	340
totBwUsed	414
numVLsReq	39
numVLsAloc	2
numVLsUnAloc	31
numVLsUdrAloc	3
sumUdrAlocDifr	10
numFlowRules	29
bwUtilzn	121.76
pcntOfVSsUdrAloc	7.69
aveUdrAlocBw	3.33

reroute	False
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	73
numPLsUsed	1
totBwAvbl	1460
totBwUsed	0
numVLsReq	0
numVLsAloc	0
numVLsUnAloc	0
numVLsUdrAloc	0
sumUdrAlocDifr	0
numFlowRules	0
bwUtilzn	0.00

reroute	False
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	72
numPLsUsed	2
totBwAvbl	1440
totBwUsed	0
numVLsReq	0
numVLsAloc	0
numVLsUnAloc	0
numVLsUdrAloc	0
sumUdrAlocDifr	0
numFlowRules	0
bwUtilzn	0.00

reroute	False
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	71
numPLsUsed	3
totBwAvbl	1420
totBwUsed	0
numVLsReq	0
numVLsAloc	0
numVLsUnAloc	0
numVLsUdrAloc	0
sumUdrAlocDifr	0
numFlowRules	0
bwUtilzn	0.00

reroute	False
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	70
numPLsUsed	4
totBwAvbl	1400
totBwUsed	0
numVLsReq	0
numVLsAloc	0
numVLsUnAloc	0
numVLsUdrAloc	0
sumUdrAlocDifr	0
numFlowRules	0
bwUtilzn	0.00

reroute	False
bwUnderAlloc	True
mesurPoint	linkEvent
numPLsAvbl	69
