19
15
0	7	5	9,8,7
0	7	5	5,9
0	7	5	5,3,4,7
0	10	4	13,12,10,9,4
0	10	4	1,4,9,10,12,13
0	10	5	4,8,16
0	10	1	4,1
0	10	5	1,4,8,16
0	12	3	15,17,18
0	12	4	18,19
0	12	4	15,17,19
0	13	1	2,1,19,20
0	13	3	20,15,12
0	13	1	12,10,5,3,2
0	15	2	3,2
0	15	3	2,1,7,8
0	15	2	14,9,3,2
0	15	1	3,9,8
0	15	1	14,9,3
1	1	4	20,15,16,9
1	1	5	2,3,9
1	1	5	9,16
1	1	2	16,9,3,2
1	2	3	11,14,9,8
1	2	3	15,12,10
1	2	2	10,11
1	2	1	10,9,8
1	2	3	8,16,15
1	6	1	16,15,12
1	6	3	18,17,15,12
1	6	1	5,9,16
1	6	1	18,8,9,5
1	6	3	16,17,18
1	6	5	5,10,12
